Date,Open,High,Low,Close,Adj Close,Volume
2010-03-22,623.0,623.0,623.0,623.0,623.0,23
2010-03-23,566.0,566.0,566.0,566.0,566.0,209
2010-03-25,545.0,545.0,545.0,545.0,545.0,465
2010-03-30,415.0,415.0,415.0,415.0,415.0,165
2010-04-05,439.0,439.0,423.0,439.0,439.0,30
2010-04-13,431.0,431.0,431.0,431.0,431.0,60
2010-04-29,422.0,422.0,422.0,422.0,422.0,35
2010-05-24,418.0,418.0,418.0,418.0,418.0,60
2010-05-26,418.0,418.0,418.0,418.0,418.0,374
2010-06-02,464.0,464.0,450.0,464.0,464.0,977
2010-06-03,490.0,490.0,472.0,490.0,490.0,877
2010-06-07,477.0,477.0,477.0,477.0,477.0,400
2010-06-08,476.0,476.0,476.0,476.0,476.0,100
2010-06-10,480.0,480.0,480.0,480.0,480.0,210
2010-06-14,462.0,462.0,462.0,462.0,462.0,74
2010-06-15,461.0,461.0,461.0,461.0,461.0,100
2010-06-21,470.0,470.0,465.0,470.0,470.0,227
2010-06-22,472.0,472.0,477.0,472.0,472.0,472
2010-06-23,465.0,465.0,465.0,465.0,465.0,115
2010-07-01,456.0,456.0,456.0,456.0,456.0,78
2010-07-06,450.0,450.0,448.0,450.0,450.0,317
2010-07-07,451.0,451.0,451.0,451.0,451.0,200
2010-07-12,460.0,460.0,455.0,460.0,460.0,54
2010-07-15,430.0,430.0,430.0,430.0,430.0,800
2010-07-19,435.0,435.0,435.0,435.0,435.0,202
2010-07-21,450.0,450.0,443.0,450.0,450.0,131
2010-07-22,459.0,459.0,459.0,459.0,459.0,87
2010-07-26,443.0,443.0,443.0,443.0,443.0,100
2010-08-10,445.0,445.0,445.0,445.0,445.0,198
2010-08-11,450.0,450.0,450.0,450.0,450.0,100
2010-08-16,478.0,478.0,478.0,478.0,478.0,400
2010-08-17,480.0,480.0,480.0,480.0,480.0,301
2010-08-18,480.0,480.0,478.0,480.0,480.0,773
2010-08-19,485.0,485.0,485.0,485.0,485.0,200
2010-08-23,460.0,460.0,455.0,460.0,460.0,1211
2010-08-30,421.0,421.0,421.0,421.0,421.0,1510
2010-08-31,429.0,429.0,429.0,429.0,429.0,27
2010-09-01,429.0,429.0,429.0,429.0,429.0,27
2010-09-02,428.0,428.0,420.0,428.0,428.0,230
2010-09-08,452.0,452.0,452.0,452.0,452.0,50
2010-09-09,450.0,450.0,450.0,450.0,450.0,150
2010-09-13,459.0,459.0,459.0,459.0,459.0,60
2010-09-14,460.0,460.0,455.0,460.0,460.0,450
2010-09-16,462.0,462.0,462.0,462.0,462.0,100
2010-09-21,470.0,470.0,470.0,470.0,470.0,100
2010-09-23,472.0,472.0,465.0,472.0,472.0,207
2010-09-27,471.0,471.0,467.0,471.0,471.0,607
2010-09-28,472.0,472.0,472.0,472.0,472.0,134
2010-09-29,472.0,472.0,472.0,472.0,472.0,100
2010-10-07,484.0,484.0,484.0,484.0,484.0,100
2010-10-28,489.0,489.0,480.0,489.0,489.0,300
