Date,Open,High,Low,Close,Adj Close,Volume
2000-08-23,112.5,120.0,92.5,92.5,92.5,274
2000-08-24,100.0,100.0,100.0,100.0,100.0,10
2000-08-25,102.5,102.5,100.0,102.5,102.5,72
2000-08-28,97.5,102.5,97.5,100.0,100.0,116
2000-08-29,102.5,120.0,100.0,120.0,120.0,68
2000-08-30,120.0,120.0,120.0,120.0,120.0,0
2000-08-31,112.5,112.5,112.5,112.5,112.5,8
2000-09-01,117.5,117.5,105.0,105.0,105.0,69
2000-09-05,102.5,102.5,102.5,102.5,102.5,40
2000-09-06,102.5,102.5,100.0,100.0,100.0,246
2000-09-07,105.0,105.0,105.0,105.0,105.0,20
2000-09-08,105.0,105.0,105.0,105.0,105.0,0
2000-09-11,102.5,120.0,102.5,120.0,120.0,140
2000-09-12,117.5,117.5,117.5,117.5,117.5,42
2000-09-13,117.5,117.5,117.5,117.5,117.5,0
2000-09-14,102.5,102.5,102.5,102.5,102.5,20
2000-09-15,102.5,102.5,102.5,102.5,102.5,0
2000-09-18,112.5,112.5,95.0,107.5,107.5,360
2000-09-19,105.0,105.0,97.5,105.0,105.0,80
2000-09-20,100.0,110.0,100.0,110.0,110.0,42
2000-09-21,110.0,110.0,110.0,110.0,110.0,0
2000-09-22,100.0,100.0,100.0,100.0,100.0,32
2000-09-25,97.5,97.5,97.5,97.5,97.5,52
2000-09-26,97.5,97.5,92.5,92.5,92.5,300
2000-09-27,92.5,92.5,90.0,90.0,90.0,356
2000-09-28,90.0,90.0,90.0,90.0,90.0,0
2000-09-29,92.5,100.0,90.0,95.0,95.0,496
2000-10-02,95.0,95.0,95.0,95.0,95.0,24
2000-10-03,90.0,90.0,90.0,90.0,90.0,88
2000-10-04,100.0,100.0,95.0,95.0,95.0,20
2000-10-05,95.0,95.0,95.0,95.0,95.0,8
2000-10-06,90.0,90.0,85.0,85.0,85.0,52
2000-10-10,85.0,100.0,80.0,87.5,87.5,276
2000-10-11,90.0,90.0,80.0,80.0,80.0,32
2000-10-12,80.0,82.5,77.5,77.5,77.5,94
2000-10-13,75.0,87.5,75.0,87.5,87.5,318
2000-10-16,75.0,75.0,75.0,75.0,75.0,8
2000-10-17,87.5,87.5,87.5,87.5,87.5,20
2000-10-18,87.5,87.5,87.5,87.5,87.5,0
2000-10-19,87.5,87.5,87.5,87.5,87.5,0
2000-10-20,80.0,80.0,80.0,80.0,80.0,56
2000-10-23,80.0,80.0,80.0,80.0,80.0,0
2000-10-24,87.5,87.5,87.5,87.5,87.5,16
2000-10-25,97.5,105.0,87.5,87.5,87.5,112
2000-10-26,82.5,82.5,82.5,82.5,82.5,20
2000-10-27,75.0,75.0,75.0,75.0,75.0,46
2000-10-30,75.0,75.0,75.0,75.0,75.0,0
2000-10-31,75.0,87.5,75.0,75.0,75.0,104
2000-11-01,75.0,75.0,75.0,75.0,75.0,0
2000-11-02,75.0,77.5,75.0,77.5,77.5,40
2000-11-03,75.0,75.0,75.0,75.0,75.0,20
2000-11-06,75.0,75.0,75.0,75.0,75.0,0
2000-11-07,75.0,75.0,75.0,75.0,75.0,20
2000-11-08,75.0,75.0,75.0,75.0,75.0,56
2000-11-09,82.5,82.5,82.5,82.5,82.5,10
2000-11-10,85.0,85.0,75.0,75.0,75.0,38
2000-11-13,75.0,75.0,75.0,75.0,75.0,0
2000-11-14,77.5,77.5,77.5,77.5,77.5,21
2000-11-15,77.5,77.5,77.5,77.5,77.5,0
2000-11-16,77.5,77.5,77.5,77.5,77.5,0
2000-11-17,75.0,75.0,72.5,72.5,72.5,20
2000-11-20,72.5,72.5,72.5,72.5,72.5,0
2000-11-21,75.0,75.0,65.0,75.0,75.0,52
2000-11-22,75.0,75.0,75.0,75.0,75.0,0
2000-11-23,75.0,75.0,75.0,75.0,75.0,0
2000-11-24,87.5,87.5,87.5,87.5,87.5,20
2000-11-27,87.5,87.5,87.5,87.5,87.5,14
2000-11-28,87.5,87.5,75.0,75.0,75.0,16
2000-11-29,75.0,75.0,75.0,75.0,75.0,0
2000-11-30,87.5,100.0,87.5,100.0,100.0,166
2000-12-01,100.0,100.0,100.0,100.0,100.0,0
2000-12-04,100.0,100.0,100.0,100.0,100.0,0
2000-12-05,100.0,100.0,100.0,100.0,100.0,0
2000-12-06,100.0,100.0,100.0,100.0,100.0,0
2000-12-07,100.0,100.0,100.0,100.0,100.0,0
2000-12-08,100.0,100.0,100.0,100.0,100.0,0
2000-12-11,87.5,87.5,77.5,77.5,77.5,16
2000-12-12,77.5,77.5,75.0,75.0,75.0,46
2000-12-13,75.0,75.0,75.0,75.0,75.0,0
2000-12-14,77.5,77.5,77.5,77.5,77.5,2
2000-12-15,87.5,87.5,87.5,87.5,87.5,19
2000-12-18,87.5,87.5,87.5,87.5,87.5,0
2000-12-19,77.5,77.5,77.5,77.5,77.5,17
2000-12-20,77.5,77.5,77.5,77.5,77.5,0
2000-12-21,77.5,77.5,77.5,77.5,77.5,0
2000-12-22,80.0,80.0,77.5,77.5,77.5,120
2000-12-27,77.5,77.5,77.5,77.5,77.5,0
2000-12-28,77.5,77.5,77.5,77.5,77.5,0
2000-12-29,80.0,80.0,80.0,80.0,80.0,4
2001-01-02,80.0,80.0,80.0,80.0,80.0,0
2001-01-03,80.0,80.0,80.0,80.0,80.0,0
2001-01-04,77.5,77.5,77.5,77.5,77.5,11
2001-01-05,77.5,77.5,77.5,77.5,77.5,80
2001-01-08,77.5,77.5,77.5,77.5,77.5,0
2001-01-09,77.5,77.5,75.0,75.0,75.0,80
2001-01-10,75.0,75.0,75.0,75.0,75.0,0
2001-01-11,75.0,75.0,75.0,75.0,75.0,0
2001-01-12,77.5,77.5,77.5,77.5,77.5,40
2001-01-15,77.5,77.5,77.5,77.5,77.5,0
2001-01-16,75.0,75.0,75.0,75.0,75.0,26
2001-01-17,75.0,75.0,75.0,75.0,75.0,0
2001-01-18,75.0,75.0,75.0,75.0,75.0,0
2001-01-19,87.5,87.5,87.5,87.5,87.5,264
2001-01-22,87.5,87.5,87.5,87.5,87.5,0
2001-01-23,87.5,87.5,87.5,87.5,87.5,0
2001-01-24,87.5,87.5,87.5,87.5,87.5,0
2001-01-25,87.5,87.5,87.5,87.5,87.5,0
2001-01-26,77.5,77.5,77.5,77.5,77.5,200
2001-01-29,77.5,77.5,77.5,77.5,77.5,0
2001-01-30,77.5,77.5,77.5,77.5,77.5,0
2001-01-31,77.5,77.5,77.5,77.5,77.5,0
2001-02-01,77.5,77.5,77.5,77.5,77.5,0
